"DateTime","Number of sales","Sales USD"
"2017-06-23 00:00:00",19,1020.3
"2017-06-24 00:00:00",21,1240.84
"2017-06-25 00:00:00",13,517.55
"2017-06-26 00:00:00",14,424.63
"2017-06-27 00:00:00",33,2092.91
"2017-06-28 00:00:00",15,1247.26
"2017-06-29 00:00:00",38,2185.72
"2017-06-30 00:00:00",21,1708.15
"2017-07-01 00:00:00",10,3140.8
"2017-07-02 00:00:00",31,2924.61
"2017-07-03 00:00:00",51,7249.8
"2017-07-04 00:00:00",58,13505.93
"2017-07-05 00:00:00",18,1840.28
"2017-07-06 00:00:00",23,7022.18
"2017-07-07 00:00:00",37,7082.51
"2017-07-08 00:00:00",30,3227.88
"2017-07-09 00:00:00",12,969.1
"2017-07-10 00:00:00",17,4910.06
"2017-07-11 00:00:00",43,5709.37
"2017-07-12 00:00:00",17,1778.73
"2017-07-13 00:00:00",31,5300.97
"2017-07-14 00:00:00",7,448.4
"2017-07-15 00:00:00",5,549.69
"2017-07-16 00:00:00",3,319.2
"2017-07-17 00:00:00",5,1452.2
"2017-07-18 00:00:00",30,2921.67
"2017-07-19 00:00:00",31,3436.75
"2017-07-20 00:00:00",21,2352.71
"2017-07-21 00:00:00",21,2135
"2017-07-22 00:00:00",13,1044.77
"2017-07-23 00:00:00",6,421.7
"2017-07-24 00:00:00",15,1126.82
"2017-07-25 00:00:00",8,1769.47
"2017-07-26 00:00:00",5,314.52
"2017-07-27 00:00:00",2,111.75
"2017-07-28 00:00:00",5,374
"2017-07-29 00:00:00",8,1006.8
"2017-07-30 00:00:00",16,1478.99
"2017-07-31 00:00:00",2,213.45
"2017-08-01 00:00:00",2,109
"2017-08-02 00:00:00",1,525.74
"2017-08-03 00:00:00",21,4599.9
"2017-08-04 00:00:00",0,0
"2017-08-05 00:00:00",2,1518.93
"2017-08-06 00:00:00",0,0
"2017-08-07 00:00:00",1,76.52
"2017-08-08 00:00:00",5,997.6
"2017-08-09 00:00:00",3,267.36
"2017-08-10 00:00:00",2,181.03
"2017-08-11 00:00:00",8,659.37
"2017-08-12 00:00:00",17,1038.52
"2017-08-13 00:00:00",7,805.29
"2017-08-14 00:00:00",3,503.88
"2017-08-15 00:00:00",4,260.89
"2017-08-16 00:00:00",2,210.03
"2017-08-17 00:00:00",2,150.29
"2017-08-18 00:00:00",1,88.83
"2017-08-19 00:00:00",1,118.65
"2017-08-20 00:00:00",1,162.34
"2017-08-21 00:00:00",8,792.62
"2017-08-22 00:00:00",1,87.41
"2017-08-23 00:00:00",2,155.23
"2017-08-24 00:00:00",0,0
"2017-08-25 00:00:00",3,256.64
"2017-08-26 00:00:00",1,98.96
"2017-08-27 00:00:00",0,0
"2017-08-28 00:00:00",9,1145.85
"2017-08-29 00:00:00",1,91.7
"2017-08-30 00:00:00",2,174.3
"2017-08-31 00:00:00",1,103.39
"2017-09-01 00:00:00",5,506.11
"2017-09-02 00:00:00",3,69.28
"2017-09-03 00:00:00",0,0
"2017-09-04 00:00:00",3,314.7
"2017-09-05 00:00:00",0,0
"2017-09-06 00:00:00",0,0
"2017-09-07 00:00:00",0,0
"2017-09-08 00:00:00",1,76.12
"2017-09-09 00:00:00",0,0
"2017-09-10 00:00:00",3,202.02
"2017-09-11 00:00:00",2,139.34
"2017-09-12 00:00:00",2,81.36
"2017-09-13 00:00:00",0,0
"2017-09-14 00:00:00",0,0
"2017-09-15 00:00:00",0,0
"2017-09-16 00:00:00",1,70.99
"2017-09-17 00:00:00",2,133.72
"2017-09-18 00:00:00",1,63.35
"2017-09-19 00:00:00",4,378.6
"2017-09-20 00:00:00",3,372.74
"2017-09-21 00:00:00",4,208.55
"2017-09-22 00:00:00",1,71.14
"2017-09-23 00:00:00",4,243.57
"2017-09-24 00:00:00",1,56.14
"2017-09-25 00:00:00",0,0
"2017-09-26 00:00:00",0,0
"2017-09-27 00:00:00",4,423.01
"2017-09-28 00:00:00",1,36.2
"2017-09-29 00:00:00",7,314.35
"2017-09-30 00:00:00",10,160.53
"2017-10-01 00:00:00",1,449.51
"2017-10-02 00:00:00",0,0
"2017-10-03 00:00:00",0,0
"2017-10-04 00:00:00",1,58.61
"2017-10-05 00:00:00",0,0
"2017-10-06 00:00:00",0,0
"2017-10-07 00:00:00",0,0
"2017-10-08 00:00:00",1,93.04
"2017-10-09 00:00:00",1,26.63
"2017-10-10 00:00:00",0,0
"2017-10-11 00:00:00",1,66.71
"2017-10-12 00:00:00",1,39.26
"2017-10-13 00:00:00",4,354.85
"2017-10-14 00:00:00",4,254.86
"2017-10-15 00:00:00",3,177.76
"2017-10-16 00:00:00",2,179.26
"2017-10-17 00:00:00",0,0
"2017-10-18 00:00:00",0,0
"2017-10-19 00:00:00",1,27.76
"2017-10-20 00:00:00",1,96.75
"2017-10-21 00:00:00",1,78.18
